movie_title;gross;duration;budget;num_critic_for_reviews;director_facebook_likes;cast_total_facebook_likes
Rush Hour 3 ;140080850;91;140000000;162;420;1125
The Mummy: Tomb of the Dragon Emperor ;102176165;112;145000000;264;357;9131
Shrek Forever After ;238371987;93;165000000;226;31;4628
Big Hero 6 ;222487711;102;165000000;384;38;2963
Wreck-It Ralph ;189412677;101;165000000;377;66;4451
The Polar Express ;665426;100;165000000;188;0;16264
Independence Day: Resurgence ;102315545;120;165000000;286;776;3233
How to Train Your Dragon ;217387997;98;165000000;288;255;20453
The Fast and the Furious ;144512310;106;38000000;187;357;45327
X-Men: First Class ;146405371;132;160000000;500;905;50983
The Sorcerer's Apprentice ;63143812;109;150000000;235;226;13388
Warcraft ;46978995;123;160000000;275;0;5505
Terminator Genisys ;89732035;126;155000000;474;230;38873
The Chronicles of Narnia: The Voyage of the Dawn Treader ;104383624;113;155000000;228;150;764
Hancock ;227946274;102;150000000;318;532;21584
I Am Legend ;256386216;104;150000000;323;508;13076
Ratatouille ;206435493;111;150000000;318;663;4764
Madagascar: Escape 2 Africa ;179982968;89;150000000;167;35;3285
Night at the Museum: Battle of the Smithsonian ;177243721;105;150000000;185;189;54039
X-Men Origins: Wolverine ;179883016;119;150000000;350;151;40054
Angels & Demons ;133375846;146;150000000;298;2000;16948
Thor ;181015141;115;150000000;516;0;60059
Bolt ;114053579;96;150000000;225;59;20007
G-Force ;119420252;88;150000000;145;12;2217
Wrath of the Titans ;83640426;99;150000000;310;473;16184
The Wolfman ;61937495;119;150000000;357;394;13071
Bee Movie ;126597121;91;150000000;194;58;6576
Kung Fu Panda 2 ;165230261;90;150000000;284;90;21015
The Last Airbender ;131564731;103;150000000;280;0;2857
White House Down ;73103784;131;150000000;339;776;18204
Mars Needs Moms ;21379315;88;150000000;132;25;2652
Pan ;34964818;111;150000000;256;456;21393
Mr. Peabody & Sherman ;111505642;92;145000000;196;50;5810
Madagascar 3: Europe's Most Wanted ;216366733;93;145000000;211;35;2444
Ghostbusters ;118099659;116;144000000;464;176;2097
Armageddon ;201573391;153;140000000;167;0;26029
Men in Black II ;190418803;88;140000000;208;188;14823
Beowulf ;82161969;115;150000000;287;0;31523
Kung Fu Panda 3 ;143523463;95;145000000;210;5;36095
Mission: Impossible - Ghost Protocol ;209364921;133;145000000;432;663;21768
Rise of the Guardians ;103400692;97;145000000;256;52;20645
Fun with Dick and Jane ;110332737;90;100000000;135;23;1997
The Last Samurai ;111110575;154;140000000;190;380;11945
How to Train Your Dragon 2 ;176997107;102;145000000;292;255;23378
Gods of Egypt ;31141074;126;140000000;184;295;19769
Stealth ;31704416;121;135000000;145;357;2705
Lethal Weapon 4 ;129734803;127;140000000;141;503;6171
Hulk ;132122995;138;137000000;267;0;1814
G.I. Joe: Retaliation ;122512052;122;130000000;351;209;31958
Final Fantasy: The Spirits Within ;32131830;106;137000000;166;6;15015
Captain America: The First Avenger ;176636816;124;140000000;510;394;19761
Master and Commander: The Far Side of the World ;93926386;138;150000000;244;608;1205
The Incredible Hulk ;134518390;135;150000000;354;255;5811
Turbo ;83024900;96;135000000;166;13;17416
Rango ;123207194;107;135000000;362;563;43291
Penguins of Madagascar ;83348920;92;132000000;153;35;19963
The Bourne Ultimatum ;227137090;115;110000000;329;521;17369
Kung Fu Panda ;215395021;92;130000000;266;54;12754
Ant-Man ;180191634;117;130000000;517;235;5730
Home ;177343675;94;135000000;165;12;17883
Bad Boys II ;138396624;147;130000000;94;0;12954
Puss in Boots ;149234747;90;130000000;246;50;5046
Salt ;118311368;101;110000000;330;176;12406
Noah ;101160529;138;125000000;434;0;32355
After Earth ;60522097;100;130000000;349;0;14168
Dinosaur ;137748063;82;127500000;145;0;2945
Night at the Museum: Secret of the Tomb ;113733726;98;127000000;154;189;53587
Megamind ;148337537;95;130000000;233;96;46120
R.I.P.D. ;33592415;96;130000000;208;124;31549
The Da Vinci Code ;217536138;174;125000000;294;2000;16008
Rio 2 ;131536019;101;103000000;159;107;1031
Fast Five ;209805005;132;125000000;342;681;55345
Sherlock Holmes: A Game of Shadows ;186830669;129;125000000;382;0;22403
Clash of the Titans ;163192114;106;125000000;344;255;18003
Total Recall ;119412921;113;65000000;196;719;1441
The 13th Warrior ;32694788;102;85000000;85;323;1815
The Bourne Legacy ;113165635;135;125000000;436;209;12175
Batman & Robin ;107285004;125;125000000;183;541;2699
How the Grinch Stole Christmas ;260031035;110;123000000;175;2000;4146
The Day After Tomorrow ;186739919;124;125000000;239;776;20553
Mission: Impossible II ;215397307;123;125000000;237;610;11930
The Perfect Storm ;182618434;130;140000000;231;249;2684
Fantastic 4: Rise of the Silver Surfer ;131920333;92;130000000;262;167;15302
Ghost Rider ;115802596;123;110000000;276;160;14017
Charlie's Angels: Full Throttle ;100685880;107;120000000;102;368;4046
Stuart Little 2 ;64736114;77;120000000;71;50;2682
Elysium ;93050117;109;115000000;476;662;17689
The Chronicles of Riddick ;57637485;134;105000000;207;123;17159
